OCCURRENCES,ARRIVAL_AIRPORT_IATA,DEPARTURE_AIRPORT_IATA,DEPARTURE_DATE,ARRIVAL_AIRPORT_DESCRIPTION,DEPARTURE_AIRPORT_DESCRIPTION,ARRIVAL_CITY,DEPARTURE_CITY,ARRIVAL_COUNTRY_CODE,DEPARTURE_COUNTRY_CODE,ARRIVAL_COUNTRY,DEPARTURE_COUNTRY,ALARM_REASON,OPERATOR_NOTES,RISK_FLAG,DEPARTURE_COUNTRY_FULL,ARRIVAL_COUNTRY_CODE_FULL,ZONE_3,ARRIVAL_COUNTRY_PERCENTAGE,TOTAL_FLIGHTS
Voli disponibili in ingresso al Sistema,FCO,SAW,2024-01-07 12:30:00,Fiumicino,Sabiha Gokcen,Roma,Istanbul,ITA,,Italia,Turchia,SDI,No information provided,LOW,Turchia,ITA,5,Italia,1.0
Voli disponibili in ingresso al Sistema,MXP,LGW,2024-01-12 10:00:00,Malpensa,London Gatwick,Milano,London,ITA,,Italia,Regno Unito,NSIS,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),LIN,LGW,2024-01-22 10:35:00,Linate,London Gatwick,Milano,London,ITA,,Italia,Regno Unito,INTERPOL,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Allarmi Chiusi,FCO,CMN,2024-01-10 13:00:00,Fiumicino,Nan,Roma,Casablanca,ITA,MAR,Italia,Marocco,NSIS,No information provided,LOW,Marocco,ITA,5,Italia,32.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),MXP,DXB,2024-02-10 09:05:00,Malpensa,Dubai International,Milano,Dubai,ITA,,Italia,Emirati Arabi Uniti,SDI,No information provided,LOW,Emirati Arabi Uniti,ITA,2,Italia,1.0
"Voli solo visualizzati, ma NON investigati",FCO,JFK,2024-01-07 17:50:00,Fiumicino,John F Kennedy International,Roma,New York,ITA,,Italia,Stati Uniti,NSIS,No information provided,LOW,Stati Uniti,ITA,5,Italia,1.0
Allarmi generati da SDI/NSIS,FCO,LHR,2024-01-11 15:55:00,Fiumicino,London Heathrow,Roma,London,ITA,,Italia,Regno Unito,No information provided,No information provided,LOW,Regno Unito,ITA,5,Italia,2.0
Voli investigati (SDI/NSIS - INTERPOL - TSC),MXP,CMN,2024-02-21 13:00:00,Malpensa,Mohamed V,Milano,Casablanca,ITA,MAR,Italia,Marocco,No information provided,No information provided,LOW,Marocco,ITA,2,Italia,1.0
"Voli solo visualizzati, ma NON investigati",MXP,LGW,2024-02-17 09:00:00,Malpensa,London Gatwick,Milano,London,ITA,,Italia,Regno Unito,SDI,No information provided,LOW,Regno Unito,ITA,2,Italia,1.0
Viaggiatori con Allarmi,FCO,RAK,2024-01-20 10:20:00,Fiumicino,Menara,Roma,Marrakech,ITA,MAR,Italia,Marocco,SDI,No information provided,LOW,Marocco,ITA,5,Italia,26.0
