DEPARTURE_AIRPORT_IATA,ARRIVAL_AIRPORT_IATA,tot_available_inbound_flights,tot_closed_alerts,tot_entries_x,tot_entries_with_alerts,tot_flights_with_alerts,tot_generated_alerts,tot_investigated_entries,tot_investigated_flights,tot_missing_update,tot_negative_outcome,tot_open_alerts,tot_other,tot_relevant_alerts,tot_viewed_not_investigated_flights,DEPARTURE_CITY,DEPARTURE_COUNTRY,DEPARTURE_COUNTRY_CODE,ARRIVAL_CITY,ZONE,n_high_risk,n_medium_risk,alarm_reason_top,tot_entries_y,tot_investigated,tot_alarms,n_records,alarm_intensity,alert_rate,investigation_rate,alert_rate_ALB,pct_nat_ALB,alert_rate_AFG,pct_nat_AFG,alert_rate_Unknown,pct_nat_Unknown,alert_rate_doc_Visto,alert_rate_doc_Permesso di soggiorno,pct_SEGNALATO,pct_IN ATTESA,pct_RESPINTO,pct_FERMATO,route
AUH,FCO,3.0,19.0,2285.0,37.0,4.0,63.0,634.0,2.0,0.0,31.0,0.0,0.0,0.0,6.0,Abu Dhabi,Emirati Arabi Uniti,ARE,Roma,5,0.0,0.0,NO REASON PROVIDED,56.0,38.0,6.0,26.0,0.15789473684210525,0.15789473684210525,0.6785714285714286,0.17857142857142858,0.8076923076923077,0.0,0.0,0.1111111111111111,0.15384615384615385,0.4,0.0,0.14285714285714285,0.2857142857142857,0.23809523809523808,0.14285714285714285,AUH→FCO
AUH,MXP,2.0,0.0,284.0,104.0,6.0,93.0,2603.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,Abu Dhabi,Emirati Arabi Uniti,ARE,Milano,2,0.0,0.0,MANUALE,9.0,9.0,1.0,8.0,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.0,AUH→MXP
AYT,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,AYT→MXP
BAH,FCO,0.0,0.0,164.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Manama,Bahrain,BHR,Roma,5,0.0,0.0,MANUALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAH→FCO
BAH,MXP,0.0,0.0,322.0,35.0,1.0,23.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Manama,Bahrain,BHR,Milano,2,0.0,0.0,NO REASON PROVIDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAH→MXP
BEG,BGY,0.0,0.0,0.0,0.0,1.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Belgrade,Serbia,SRB,Bergamo,2,0.0,0.0,NO REASON PROVIDED,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEG→BGY
BEG,BLQ,1.0,0.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Belgrade,Serbia,SRB,Bologna,8,0.0,0.0,INTERPOL,2.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BEG→BLQ
BEG,CIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Belgrade,Serbia,SRB,Roma,5,0.0,0.0,TSC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEG→CIA
BEG,FCO,4.0,0.0,697.0,8.0,5.0,29.0,477.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,Belgrade,Serbia,SRB,Roma,5,0.0,0.0,INTERPOL,6.0,9.0,2.0,4.0,0.2222222222222222,0.2222222222222222,1.5,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,BEG→FCO
BEG,LIN,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belgrade,Serbia,SRB,Milano,2,0.0,0.0,NO REASON PROVIDED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEG→LIN
